candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
2,26,35.22282,41.47046,-46.22313,81.53719,-18.62224,1.93089
2,27,36.27424,41.06485,-45.77446,80.87447,-19.17535,2.01604
2,28,36.13161,40.90741,-40.75147,80.07291,-19.92901,1.95732
2,29,35.68327,42.03113,-45.56512,80.62464,-20.37410,1.89419
2,30,36.49895,42.75255,-44.05413,81.39725,-19.53447,1.85363
2,31,35.59655,44.74306,-47.31722,82.24118,-19.47983,1.97673
2,32,36.19302,44.35979,-44.39583,80.76740,-18.69695,2.03220
2,33,35.44942,44.89525,-47.68454,81.09869,-18.99503,2.05840
2,34,34.91164,46.20628,-48.50968,80.84135,-18.37814,2.09905
2,35,35.18633,47.28958,-46.42714,79.40856,-17.54696,2.22508
2,36,34.75170,47.11700,-53.16453,80.60801,-17.71016,2.29660
2,37,35.11162,45.49233,-46.59534,79.03767,-19.03471,2.14093
2,38,33.78283,45.85111,-47.10907,79.79935,-17.35469,2.17898
2,39,33.09028,46.72570,-46.75982,77.29308,-16.41581,2.47042
2,40,34.25510,49.99629,-48.44096,75.95646,-16.40336,2.86751
2,41,33.56649,47.46657,-46.77919,76.08088,-17.62919,2.38677
2,42,34.60640,48.04297,-46.67623,74.31496,-17.48380,2.49299
2,43,33.86100,47.61358,-45.22110,74.92928,-17.91216,6.75971
2,44,33.79635,47.00613,-42.35997,74.87870,-17.02560,9.80515
2,45,34.07257,47.07545,-45.91625,76.60419,-19.06564,11.07300
2,46,33.34460,46.23046,-46.24363,78.26632,-19.48013,9.40069
2,47,33.87177,47.49952,-45.56974,77.13074,-18.35404,5.91578
2,48,35.26750,51.47992,-47.58783,73.18494,-20.08916,4.18761
2,49,35.86712,48.54321,-43.96166,74.08701,-20.12761,3.90029
3,0,32.63995,21.35192,-31.17664,89.44727,-17.84386,1.86961
3,1,34.01612,24.16755,-30.67810,85.25600,-18.42141,1.84711
3,2,33.70283,26.20819,-34.69004,87.07095,-17.43204,1.74876
3,3,34.21954,27.99680,-37.98305,85.48244,-16.67982,2.25326
3,4,33.82790,26.36489,-32.79535,84.05333,-17.44308,2.13799
3,5,35.54257,28.63086,-34.92368,87.19718,-17.28963,2.19598
3,6,34.83742,30.20057,-38.04542,85.82494,-18.44337,2.07244
3,7,36.41535,31.06519,-37.92173,86.17857,-18.86497,2.02938
