step,wall_time,tau_rnea_Rotation,tau_rnea_Pitch,tau_rnea_Elbow,tau_rnea_Wrist_Pitch,tau_rnea_Wrist_Roll,tau_rnea_Jaw,load_Rotation,load_Pitch,load_Elbow,load_Wrist_Pitch,load_Wrist_Roll,load_Jaw,current_Rotation,current_Pitch,current_Elbow,current_Wrist_Pitch,current_Wrist_Roll,current_Jaw
67,1785849403.7919,-0.00947,-0.52441,-0.32201,0.02385,-0.00012,-0.00137,-36.0,-212.0,328.0,136.0,-80.0,-20.0,0.0,0.0,13.0,2.0,0.0,0.0
68,1785849403.8254,-0.01584,-0.56089,-0.33428,0.02258,-0.00007,-0.00135,-68.0,-176.0,340.0,36.0,-68.0,-24.0,1.0,0.0,16.0,0.0,0.0,0.0
69,1785849403.8587,-0.01734,-0.58504,-0.34005,0.02246,-0.00004,-0.00136,36.0,-92.0,332.0,-56.0,36.0,24.0,2.0,0.0,14.0,1.0,1.0,0.0
70,1785849403.8921,-0.01434,-0.59136,-0.34011,0.02069,-0.00004,-0.00130,0.0,24.0,348.0,112.0,-28.0,-20.0,0.0,1.0,20.0,3.0,0.0,0.0
71,1785849403.9254,-0.01865,-0.58275,-0.33533,0.01586,0.00001,-0.00116,-144.0,-56.0,344.0,80.0,52.0,0.0,3.0,0.0,20.0,0.0,1.0,0.0
72,1785849403.9589,-0.03013,-0.56541,-0.32514,0.01135,0.00012,-0.00104,-76.0,-28.0,324.0,104.0,116.0,-24.0,1.0,0.0,12.0,1.0,2.0,0.0
73,1785849403.9923,-0.03873,-0.54438,-0.31365,0.00695,0.00021,-0.00093,20.0,-40.0,344.0,-100.0,44.0,20.0,1.0,0.0,16.0,3.0,0.0,0.0
74,1785849404.0257,-0.03950,-0.53419,-0.30489,0.00578,0.00025,-0.00089,96.0,-164.0,296.0,40.0,76.0,0.0,3.0,0.0,9.0,1.0,1.0,0.0
75,1785849404.0591,-0.03046,-0.54509,-0.30567,0.00483,0.00021,-0.00084,204.0,-148.0,216.0,-64.0,84.0,-40.0,12.0,0.0,5.0,1.0,0.0,1.0
76,1785849404.0924,-0.01446,-0.56980,-0.31301,0.00470,0.00013,-0.00080,120.0,-184.0,288.0,-168.0,-36.0,-44.0,2.0,0.0,12.0,4.0,0.0,0.0
77,1785849404.1258,0.00806,-0.59570,-0.32126,0.00617,0.00003,-0.00081,-40.0,-92.0,208.0,-80.0,-28.0,20.0,1.0,0.0,8.0,1.0,0.0,0.0
78,1785849404.1592,0.02491,-0.61665,-0.32890,0.00626,-0.00005,-0.00079,-96.0,24.0,244.0,40.0,-48.0,-20.0,4.0,1.0,12.0,0.0,1.0,0.0
79,1785849404.1926,0.03005,-0.62858,-0.33473,0.00475,-0.00009,-0.00075,48.0,64.0,60.0,192.0,36.0,-52.0,0.0,1.0,2.0,6.0,0.0,1.0
80,1785849404.2260,0.02365,-0.62688,-0.33428,0.00289,-0.00007,-0.00072,64.0,-20.0,60.0,160.0,-20.0,-28.0,2.0,0.0,2.0,1.0,0.0,0.0
81,1785849404.2593,0.00745,-0.61908,-0.32987,0.00128,0.00001,-0.00070,-32.0,-44.0,136.0,84.0,-148.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
82,1785849404.2927,-0.00485,-0.61308,-0.32425,0.00160,0.00007,-0.00072,-32.0,-48.0,108.0,84.0,-32.0,-20.0,0.0,0.0,3.0,1.0,0.0,0.0
83,1785849404.3262,-0.00039,-0.61786,-0.32463,0.00108,0.00006,-0.00071,80.0,72.0,-24.0,28.0,0.0,-20.0,1.0,3.0,0.0,0.0,0.0,0.0
84,1785849404.3595,0.00800,-0.62810,-0.33102,0.00042,0.00002,-0.00068,0.0,-24.0,-104.0,32.0,-84.0,-48.0,0.0,0.0,0.0,0.0,3.0,1.0
85,1785849404.3929,0.01325,-0.63381,-0.33375,0.00162,-0.00004,-0.00070,-88.0,24.0,-48.0,120.0,-104.0,32.0,0.0,1.0,0.0,4.0,0.0,0.0
86,1785849404.4263,0.00507,-0.63598,-0.33451,0.00111,-0.00004,-0.00068,-80.0,20.0,76.0,120.0,-48.0,-56.0,2.0,0.0,4.0,0.0,0.0,0.0
87,1785849404.4597,-0.00355,-0.63429,-0.33103,0.00109,-0.00002,-0.00069,-28.0,72.0,28.0,76.0,-188.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0
88,1785849404.4932,-0.01279,-0.63152,-0.32760,0.00177,-0.00001,-0.00071,20.0,-40.0,108.0,100.0,-60.0,-24.0,0.0,0.0,5.0,1.0,0.0,0.0
89,1785849404.5265,-0.01726,-0.63649,-0.32796,0.00155,-0.00004,-0.00070,56.0,-112.0,76.0,36.0,36.0,28.0,2.0,0.0,1.0,0.0,1.0,0.0
90,1785849404.5598,-0.01172,-0.64090,-0.32590,0.00281,-0.00006,-0.00074,88.0,80.0,-104.0,-32.0,68.0,-20.0,2.0,3.0,4.0,0.0,1.0,0.0
91,1785849404.5932,-0.00285,-0.64198,-0.32455,0.00469,-0.00005,-0.00079,-100.0,180.0,-128.0,-40.0,-44.0,0.0,4.0,18.0,0.0,1.0,0.0,0.0
92,1785849404.6267,0.00781,-0.64118,-0.32243,0.00782,-0.00005,-0.00087,-24.0,136.0,-36.0,68.0,64.0,-60.0,0.0,8.0,0.0,2.0,1.0,2.0
93,1785849404.6601,0.01764,-0.64694,-0.32679,0.00742,-0.00004,-0.00083,84.0,92.0,-32.0,152.0,152.0,-160.0,1.0,4.0,0.0,4.0,3.0,3.0
94,1785849404.6934,0.01978,-0.65165,-0.33312,0.00364,-0.00002,-0.00064,-80.0,136.0,-104.0,56.0,-76.0,48.0,2.0,7.0,0.0,0.0,3.0,2.0
95,1785849404.7269,0.01675,-0.64728,-0.33064,0.00437,0.00002,-0.00063,40.0,120.0,-52.0,80.0,-148.0,36.0,1.0,5.0,1.0,2.0,4.0,0.0
96,1785849404.7602,0.00845,-0.64654,-0.32731,0.00659,0.00006,-0.00071,-60.0,228.0,-116.0,-40.0,56.0,-72.0,0.0,20.0,1.0,1.0,2.0,1.0
97,1785849404.7936,-0.01410,-0.64426,-0.32486,0.00836,0.00015,-0.00069,-68.0,156.0,32.0,56.0,-76.0,-196.0,0.0,8.0,1.0,1.0,2.0,5.0
98,1785849404.8270,-0.02652,-0.64445,-0.32636,0.00742,0.00017,-0.00058,-24.0,168.0,-76.0,72.0,-140.0,-192.0,1.0,16.0,3.0,0.0,2.0,4.0
99,1785849404.8604,-0.02768,-0.64213,-0.32769,0.00528,0.00012,-0.00045,-56.0,200.0,-184.0,68.0,-68.0,-284.0,1.0,11.0,4.0,1.0,1.0,6.0
100,1785849404.8938,-0.02245,-0.62820,-0.32256,0.00584,0.00009,-0.00040,-32.0,192.0,-52.0,-40.0,-20.0,-372.0,0.0,8.0,0.0,1.0,0.0,8.0
