step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
46,1786013958.2088,1786013958.2143,0.03343,15.8242,-10.5055,26.3736,80.4396,-36.9670,1.9841,19.0269,-9.5199,18.6644,80.4082,-25.4163,2.1418,19.0269,-9.5199,18.6644,80.4082,-26.5275,2.1418,0,400,-850,-200,950,0,0
47,1786013958.2422,1786013958.2467,0.0334,16.4396,-10.0659,24.2637,80.2637,-34.2418,1.9841,19.7180,-7.4644,19.0029,79.3648,-25.1754,2.2422,19.7180,-7.4644,19.0029,79.3648,-25.1754,2.2422,200,200,-650,50,1050,0,0
48,1786013958.2756,1786013958.28,0.03338,17.7582,-10.1538,22.9451,81.2308,-31.4286,1.9841,19.5448,-5.8196,17.9460,77.7266,-26.1239,2.2520,19.5448,-5.8196,17.9460,77.7266,-26.1239,2.2520,350,0,-550,300,950,0,0
49,1786013958.3089,1786013958.3133,0.03337,18.7253,-9.9780,22.1538,80.5275,-29.0549,1.9841,18.1997,-9.0585,21.3260,76.7098,-24.1327,2.5175,18.1997,-9.0585,21.3260,76.7098,-24.1327,2.5175,350,100,-250,-250,800,0,0
50,1786013958.3424,1786013958.4574,0.03341,18.9011,-8.2198,21.0989,79.1209,-28.0000,1.9841,22.7906,-9.0762,11.2192,81.0607,-18.9953,1.8844,22.7906,-9.0762,11.9780,81.0607,-18.9953,1.8844,50,500,-400,-500,500,0,1
51,1786013958.4584,1786013958.4641,0.11605,18.1978,-6.8132,21.9780,77.1868,-25.2747,2.2487,26.0776,-1.1065,5.8473,84.0080,-18.9309,1.8387,26.0776,-1.1065,11.9780,84.0080,-18.9309,1.8387,0,-50,-50,-50,150,0,1
52,1786013958.4918,1786013958.4969,0.03339,18.2857,-6.8132,21.9780,77.1868,-25.0110,2.2487,28.1710,-2.1235,5.0554,84.2981,-16.8394,1.8026,28.1710,-2.1235,11.9780,84.2981,-16.8394,1.8026,50,0,0,-50,100,0,0
53,1786013958.5252,1786013958.5302,0.03338,18.8132,-6.5495,21.6264,78.1538,-23.7802,2.1164,27.4971,1.8117,3.7094,85.2072,-16.8589,1.8277,27.4971,1.8117,11.4505,85.2072,-16.8589,1.8277,100,150,-50,300,450,-50,0
54,1786013958.5586,1786013958.5636,0.0334,20.9231,-4.9670,19.4286,80.2637,-21.3187,2.1164,29.7172,5.5305,2.1219,85.0024,-13.2039,1.7028,29.7172,5.2967,9.0769,85.0024,-13.2039,1.7028,750,400,-850,800,900,0,0
55,1786013958.592,1786013958.5971,0.03338,23.5604,-2.4176,16.6154,82.2857,-19.6484,2.0503,31.9448,7.0188,1.1683,84.4033,-14.7772,1.8402,31.9448,7.0188,6.2637,84.4033,-14.7772,1.8402,850,850,-1000,750,550,-50,0
