step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
42,1786014292.2506,1786014292.255,0.03338,38.6813,-8.6593,12.2198,79.6484,-24.1319,2.7116,39.7774,-3.2011,9.2357,77.3316,-20.8664,2.9453,39.7774,-3.2011,9.2357,77.3316,-20.8664,2.9453,150,900,-300,-300,350,0,0
43,1786014292.284,1786014292.2884,0.03339,39.0330,-6.2857,11.7802,78.9451,-23.2527,2.7116,39.9909,-2.3387,9.1622,76.9352,-20.5910,2.9643,39.9909,-2.3387,9.1622,76.9352,-20.5910,2.9643,100,850,-150,-300,300,0,0
44,1786014292.3174,1786014292.3219,0.03341,39.2967,-4.5275,11.7802,78.3297,-22.3736,2.7116,39.9078,-2.1937,9.3232,76.6412,-20.4878,3.0847,39.9078,-2.1937,9.3232,76.6412,-20.4878,3.0847,100,600,0,-200,300,0,0
45,1786014292.3508,1786014292.3556,0.03342,39.5604,-3.2967,11.7802,77.8022,-21.7582,2.7116,40.1181,-0.6911,9.2507,76.3248,-19.8485,3.1338,40.1181,-0.6911,9.2507,76.3248,-19.8485,3.1338,100,400,0,-150,250,0,0
46,1786014292.3841,1786014292.3889,0.03332,39.6484,-2.5934,11.6923,77.4505,-21.3187,2.7116,40.4886,0.2444,9.2729,76.0904,-19.4592,3.1591,40.4886,0.2444,9.2729,76.0904,-19.4592,3.1591,50,300,0,-150,100,0,0
47,1786014292.4175,1786014292.4223,0.03339,39.6484,-1.7143,11.6923,77.0110,-20.8791,2.7116,40.5601,0.5967,9.5001,76.0994,-19.2649,3.1861,40.5601,0.5967,9.5001,76.0994,-19.2649,3.1861,0,300,0,-150,200,0,0
48,1786014292.4509,1786014292.456,0.03342,39.6484,-0.3956,11.6923,76.6593,-20.3516,2.7116,40.7195,1.4408,9.4206,75.8235,-19.1153,3.2126,40.7195,1.4408,9.4206,75.8235,-19.1153,3.2126,0,400,0,-100,200,0,0
49,1786014292.4844,1786014292.4894,0.03341,39.8242,0.4835,11.6044,76.5714,-20.0000,2.7116,40.6169,2.4598,9.2307,75.7206,-19.0388,3.2373,40.6169,2.4598,9.2307,75.7206,-19.0388,3.2373,100,350,0,-50,100,0,0
50,1786014292.5177,1786014292.7436,0.03335,40.3516,1.1868,11.6044,76.3077,-19.7363,2.7116,34.1402,5.2932,5.3421,77.4173,-18.0966,2.9646,34.1402,5.2932,5.3421,77.4173,-18.0966,2.9646,200,250,0,-50,100,0,1
51,1786014292.7448,1786014292.7499,0.22708,40.2637,2.5934,11.2527,76.0440,-19.2967,2.7116,34.5334,6.1003,5.2012,77.1369,-18.3386,2.9596,34.5334,6.1003,5.2012,77.1369,-18.3386,2.9596,0,0,0,0,0,0,1
52,1786014292.7781,1786014292.7826,0.03332,40.3516,2.5934,11.2527,76.0440,-19.2967,2.7116,34.7587,5.8658,5.2925,76.9055,-18.5014,3.0287,34.7587,5.8658,5.2925,76.9055,-18.5014,3.0287,50,0,0,0,0,0,0
53,1786014292.8115,1786014292.816,0.03339,40.0000,3.5604,10.2857,76.4835,-19.0330,2.7116,34.7785,6.1016,5.5476,76.4727,-18.8533,2.9319,34.7785,6.1016,5.5476,76.4727,-18.8533,2.9319,-250,300,-250,250,100,0,0
54,1786014292.8449,1786014292.8497,0.03339,38.4176,5.2308,8.7033,76.3956,-18.9451,2.7116,34.7562,6.1313,5.5984,76.2565,-19.1586,2.9729,34.7562,6.1313,5.5984,76.2565,-19.1586,2.9729,-500,550,-550,50,50,0,0
55,1786014292.8783,1786014292.8827,0.0334,36.5714,5.8462,8.3516,76.2198,-19.0330,2.7116,34.8654,6.4645,6.0347,76.0421,-19.5147,3.0799,34.8654,6.4645,6.0347,76.0421,-19.5147,3.0799,-650,350,-50,-50,-50,0,0
56,1786014292.9117,1786014292.9164,0.03342,35.6923,5.9341,8.3516,76.4835,-18.9451,2.7116,34.7739,6.6166,6.1779,75.8228,-19.5865,2.9581,34.7739,6.6166,6.1779,75.8228,-19.5865,2.9581,-250,50,0,50,50,0,0
57,1786014292.9451,1786014292.9497,0.03336,35.3407,6.1978,8.0879,76.3077,-19.2088,2.7116,34.8461,6.9086,6.2121,75.6033,-19.7654,3.0231,34.8461,6.9086,6.2121,75.6033,-19.7654,3.0231,-150,100,-50,0,-100,0,0
58,1786014292.9785,1786014292.9831,0.03344,35.5165,6.7253,8.0879,76.1319,-19.3846,2.7116,34.8024,6.9279,6.2224,75.2099,-19.7950,3.0684,34.8024,6.9279,6.2224,75.2099,-19.7950,3.0684,100,200,0,-100,-100,0,0
59,1786014293.0119,1786014293.0165,0.03338,35.5165,7.2527,8.2637,75.9560,-19.4725,2.7116,34.6279,6.8828,6.4538,74.8086,-19.8478,3.1034,34.6279,6.8828,6.4538,74.8086,-19.8478,3.1034,0,200,100,-50,0,0,0
60,1786014293.0452,1786014293.0499,0.03336,35.5165,7.3407,8.2637,75.6923,-19.5604,2.7116,34.5612,7.2606,6.7273,74.2332,-19.9507,3.1695,34.5612,7.2606,6.7273,74.2332,-19.9507,3.1695,0,0,0,-150,-50,0,0
61,1786014293.0786,1786014293.0832,0.03339,35.1648,7.2527,8.1758,75.2527,-19.5604,2.7116,34.6726,7.6605,6.9027,73.9895,-19.9154,3.2947,34.6726,7.6605,6.9027,73.9895,-19.9154,3.2947,-100,-50,-50,-100,0,0,0
62,1786014293.112,1786014293.1166,0.03341,34.8132,7.3407,8.1758,74.8132,-19.5604,2.7116,34.3012,7.4175,7.2790,73.4721,-19.9508,3.4041,34.3012,7.4175,7.2790,73.4721,-19.9508,3.4041,-100,0,0,-150,0,0,0
63,1786014293.1454,1786014293.1499,0.03337,34.6374,7.8681,8.1758,74.4615,-19.5604,2.7778,34.2460,7.7754,7.6764,73.1405,-19.7331,3.4323,34.2460,7.7754,7.6764,73.1405,-19.7331,3.4323,-50,200,0,-100,0,50,0
64,1786014293.1788,1786014293.1835,0.0334,34.6374,8.0440,8.2637,74.1099,-19.5604,2.9762,34.1868,7.5655,7.7632,73.0287,-20.1479,3.9089,34.1868,7.5655,7.7632,73.0287,-20.1479,3.9089,0,50,0,-150,0,100,0
65,1786014293.2123,1786014293.2169,0.03344,34.8132,7.9560,8.2637,73.7582,-19.5604,3.0423,34.1952,7.3372,8.0586,72.8742,-20.1053,4.5279,34.1952,7.3372,8.0586,72.8742,-20.1053,4.5279,50,0,0,-150,0,50,0
