step,wall_time,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,qdot_shoulder_pan,qdot_shoulder_lift,qdot_elbow_flex,qdot_wrist_flex,qdot_wrist_roll,qdot_gripper,qddot_shoulder_pan,qddot_shoulder_lift,qddot_elbow_flex,qddot_wrist_flex,qddot_wrist_roll,qddot_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,load_shoulder_pan,load_shoulder_lift,load_elbow_flex,load_wrist_flex,load_wrist_roll,load_gripper,current_shoulder_pan,current_shoulder_lift,current_elbow_flex,current_wrist_flex,current_wrist_roll,current_gripper
54,1785849403.3579,0.03335,12.1319,-26.4176,29.8022,82.8132,-34.5934,2.5794,13.1818,36.9090,-39.5454,28.9999,31.6363,0.0000,236.923,552.518,-710.769,869.667,631.967,0.000,150,400,-400,400,500,0,-260,-288,380,-288,-300,0,9,7,28,10,12,0
55,1785849403.3913,0.03338,13.7143,-23.7802,27.2527,85.2747,-31.8681,2.5794,47.4094,79.0156,-76.3817,73.7479,81.6494,0.0000,1025.461,1261.516,-1103.620,1340.652,1498.398,0.000,550,1000,-850,750,900,0,-192,-320,336,-280,-328,0,5,1,9,1,6,0
56,1785849403.4247,0.03342,15.7363,-20.5275,24.6154,88.0000,-29.1429,2.5794,60.5068,97.3370,-78.9219,81.5526,81.5526,0.0000,391.935,548.260,-76.013,233.554,-2.897,0.000,700,1150,-1000,950,950,0,-128,-268,304,-220,-300,-60,0,0,11,0,3,1
57,1785849403.458,0.03338,17.3187,-17.4505,22.5055,90.1978,-26.3297,2.7116,47.4094,92.1850,-63.2126,65.8464,84.2834,3.9630,-392.399,-154.356,470.654,-470.560,81.814,118.731,450,1000,-700,700,900,0,-188,-256,364,-148,-308,-52,4,0,22,0,6,0
58,1785849403.4914,0.03337,18.4615,-14.3736,20.1319,91.6044,-23.6044,2.9762,34.2501,92.2119,-71.1349,42.1540,81.6734,7.9283,-394.368,0.808,-237.424,-710.034,-78.218,118.835,450,1050,-850,550,950,150,-252,-288,348,-156,-292,0,5,0,16,2,3,0
59,1785849403.5248,0.03339,20.0440,-11.4725,17.4945,92.9231,-20.6154,3.0423,47.3954,86.8916,-78.9924,39.4962,89.5247,1.9809,393.717,-159.351,-235.340,-79.606,235.155,-178.131,600,950,-850,500,1000,0,-220,-284,312,-116,-280,20,7,0,10,0,3,0
60,1785849403.5582,0.03339,21.9780,-8.3956,15.2088,94.0659,-18.1538,3.0423,57.9273,92.1571,-68.4596,34.2298,73.7257,0.0000,315.443,157.709,315.468,-157.734,-473.196,-59.330,650,1050,-800,400,850,0,-112,-288,332,-176,-320,0,0,0,17,3,6,0
61,1785849403.5916,0.03337,23.6484,-5.1429,12.8352,95.3846,-15.2527,3.0423,50.0482,97.4623,-71.1211,39.5117,86.9258,0.0000,-236.083,158.959,-79.748,158.263,395.516,0.000,750,1100,-750,500,950,0,-80,-264,360,64,-300,0,0,0,23,3,4,0
62,1785849403.625,0.03345,24.7033,-2.0659,10.4615,95.5604,-12.3516,3.0423,31.5423,91.9983,-70.9701,5.2570,86.7412,0.0000,-553.317,-163.371,4.516,-1024.197,-5.519,0.000,350,1050,-850,150,950,0,-160,-272,340,60,-280,-36,1,0,14,0,2,0
63,1785849403.6584,0.03336,25.4066,0.8352,7.8242,95.1209,-9.7143,3.0423,21.0831,86.9677,-79.0616,-13.1769,79.0616,0.0000,-313.540,-150.803,-242.562,-552.605,-230.217,0.000,300,1000,-850,-150,950,0,-64,-272,320,36,-300,-52,0,0,11,0,5,1
